id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cw,Constanze Stelzenmüller ,,Recht,USA
500,Folge 500,,,
CDU,Partei CDU,,,
SPD,Partei SPD,,,
Die Linke,Partei Die Linke,,,
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
el,Egils Levits,,i. Politik,Lettland
kd,Kristina Dunz,,Journalismus,Deutschland
501,Folge 501,,,
FDP,Partei FDP,,,
ab,Annalena Baerbock,Bündnis 90/ Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,i. Politik,Niederlande
am,Andrij Melnyk,,i. Politik,Deutschland
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Militär,Deutschland
Bündnis 90/ Die Grünen,Partei B90/ Grünen,,,
502,Folge 502,,,
rh,Robert Habeck,Bündnis 90 /​ Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Deutschland
rk,Roderich Kiesewetter,,Politik,Deutschland
503,Folge 503,,,